customer_id,first_name,last_name,age,gender,postal_code,email,phone_number,membership_status,join_date,last_purchase_date,total_spending,average_order_value,frequency,preferred_category,churned
101,Léa,King,60.0,M,69003,Lking@orange.fr,33765451688,Basic,2095-05-14 16:33:49,1960-08-01 11:43:30,205.92,1124.64,26,Macaron,False
102,Chloé,Smith,31.0,F,69006,CSMITH@HOTMAIL.COM,0,Gold,2074-01-15 16:14:23,1902-09-17 13:31:49,744.21,4403.42,24,Bread,False
103,Harper,Robinson,38.0,M,69006,harperr@yahoo.com,33148254771,Basic,2022-01-25 14:13:09,2024-01-01 09:34:31,929.52,42.25,22,Pastries,False
104,Ethan,Rodriguez,54.0,F,69001,ETHAN_RODRIGUEZ@YANDEX.COM,33118046627,Basic,2033-03-23 09:11:42,2023-07-17 15:29:57,731.21,33.24,22,Unknown,False
105,Ava,Allen,50.0,F,69006,Ava.allen@hotmail.com,33267246001,Silver,2000-03-16 10:26:12,2023-05-18 11:02:15,629.48,16.57,38,Bread,True
106,Amélie,Schmidt,45.0,F,69003,Amélie.schmidt@protonmail.com,33410798418,Gold,2023-11-18 10:01:39,2029-01-10 16:24:49,776.1,38.8,20,Bread,False
107,Mia,Leroy,67.0,F,69003,Mia.leroy@yahoo.com,33440143651,Gold,2024-01-01 15:29:15,2023-03-09 09:15:00,840.89,5191.52,23,Pastries,True
108,Finn,Weber,34.0,F,69003,finnw@laposte.net,33249004719,Silver,2016-11-10 15:04:09,2023-12-13 11:43:49,455.76,455.76,1,Pastries,False
109,Chloe,Dubois,21.0,F,69007,Chloed@yahoo.com,33124046901,Basic,2023-05-15 09:49:21,2023-12-26 14:52:13,579.15,115.83,5,Pastries,True
110,Hannah,Miller,28.0,F,69007,hmiller@web.de,6,Silver,2023-08-06 15:52:48,2040-10-23 14:16:51,704.1,25.15,28,Pastries,False
111,Harry,Hoffmann,48.0,F,69002,harry.hoffmann@laposte.net,33413173236,Silver,2022-11-06 14:06:30,2023-06-09 13:42:26,920.32,61.35,15,Tarte,False
112,Henry,Harris,40.0,F,69007,Henryharris@outlook.com,33482989535,Silver,2024-01-01 16:14:14,2023-03-26 11:15:48,709.73,17.31,41,Pastries,True
113,James,Moreau,67.0,M,69001,james_moreau@outlook.com,33378908896,Gold,2024-01-01 11:23:12,1923-09-16 12:34:52,266.9,7.63,35,Tarte,False
114,Charlotte,Adams,38.0,F,69007,charlottea@web.de,33551328360,BASIC,1986-09-30 14:55:28,2023-10-13 09:35:57,468.31,11.42,41,Tarte,False
115,Paul,Richard,25.0,F,69007,Paul.richard@yandex.com,33724009690,Silver,2019-09-28 11:00:09,2010-03-29 14:18:44,566.45,15.31,37,Pastries,False
116,Benjamin,Garcia,59.0,F,69001,Benjamin_garcia@protonmail.com,33844144576,Basic,2025-01-02 14:15:18,2023-09-10 15:21:30,713.8,18.3,39,Bread,Yes
117,Emma,Meyer,18.0,M,69006,Emmam@yahoo.com,33304782347,Gold,2028-04-28 14:44:41,2023-12-20 16:58:22,341.27,17.96,19,Macaron,False
118,Amelia,Bernard,36.0,F,69002,ameliab@outlook.com,26,Gold,2024-01-01 16:16:24,2023-12-19 14:14:39,619.42,15.49,40,Pastries,False
119,Sophie,Anderson,33.0,M,69003,SOPHIE.ANDERSON@FREE.FR,33355106205,BASIC,2023-09-24 12:14:07,1900-06-12 14:56:10,507.18,56.35,9,Bread,True
120,Lukas,Hall,66.0,M,69002,Lhall@protonmail.com,33682568671,Silver,2021-04-18 13:36:47,2023-06-13 09:37:42,380.82,13.13,29,Unknown,False
121,Alexander,White,49.0,M,69001,ALEXANDER_WHITE@ICLOUD.COM,33402406005,GOLD,2025-01-02 16:14:17,2023-12-13 10:17:58,708.7,78.74,9,Pastries,False
122,Thomas,Johnson,21.0,M,69003,thomasj@orange.fr,33940215217,basic,2023-07-11 09:48:24,2079-07-30 14:38:40,160.38,5.17,31,Bread,False
123,Lucas,Martin,45.0,M,69003,LUCAS_MARTIN@FREE.FR,33659507525,gold,2022-10-20 11:44:19,2023-09-08 15:30:47,248.04,22.55,11,Bread,False
124,Marie,Müller,47.0,F,69002,MARIEM@ORANGE.FR,33452993536,Silver,1942-03-06 14:33:49,2022-11-12 15:02:59,724.87,241.62,3,,False
125,Oliver,Schneider,47.0,F,69002,Olivers@yahoo.com,33704360544,Gold,2024-01-01 15:24:36,2028-11-05 15:00:08,179.67,7.49,24,Unknown,False
126,Louis,Robert,41.0,M,69001,louis_robert@hotmail.com,33587452449,Silver,2072-12-21 16:33:19,2024-01-01 14:46:35,669.56,17.17,39,Bread,True
127,Hugo,Scott,48.0,,69003,Hugos@gmx.de,33499807451,Silver,2030-06-04 09:17:44,2018-06-01 10:48:35,72.08,36.04,2,Macaron,True
128,Liam,Becker,41.0,M,69002,Lbecker@gmail.com,33902788660,Basic,2021-03-02 16:44:28,2023-05-28 16:46:30,854.2,17.08,50,Pastries,True
129,William,Martinez,36.0,F,69003,wmartinez@gmx.de,33694459920,Silver,2023-07-25 15:10:23,2019-10-30 11:48:43,617.9,12.87,48,Pastries,False
130,Mason,Thompson,23.0,F,69006,MASONT@YANDEX.COM,+2924225555366,gold,2024-09-14 16:51:10,1929-05-18 16:21:13,468.12,17.34,27,Tarte,False
131,Jack,Fischer,45.0,F,69002,jack_fischer@free.fr,33521290487,Silver,2024-01-01 15:00:00,2024-01-01 14:18:35,135.05,4.82,28,Macaron,True
132,Noah,Lewis,53.0,M,69006,NOAH.LEWIS@ICLOUD.COM,33540002343,SILVER,2022-08-09 09:06:04,2024-01-01 11:32:32,493.63,17.63,28,Bread,1
133,Emily,Walker,41.0,U,69001,Emilywalker@icloud.com,33114831632,Basic,2021-03-21 13:37:45,2023-12-19 14:28:22,63.03,1.47,43,To Be Determined,False
134,Isabella,Laurent,57.0,F,69003,isabellal@free.fr,6,Basic,2021-08-16 09:54:53,2024-01-01 13:23:00,313.07,14819.12,3,,False
135,Emma,Brown,25.0,M,69006,EMMA.BROWN@GMX.DE,33990381653,Silver,2023-07-28 12:09:53,2024-01-01 09:15:10,403390.35,28.09,8,Pastries,False
136,Leon,Jackson,53.0,F,69003,leon.jackson@gmail.com,33841617689,Silver,2031-10-17 12:54:49,1948-03-31 13:20:48,247.61,6.04,41,Pastries,False
137,Sophia,Young,42.0,Other,69001,Sophia_young@mail.com,33409929467,Basic,2022-11-02 13:20:17,2024-01-01 13:16:23,571.91,571.91,1,Pastries,False
138,Olivia,Clark,70.0,F,69006,Olivia.clark@wanadoo.fr,+9953659644559,Silver,2021-07-08 12:44:35,2014-09-26 12:37:41,715.55,14.6,49,Macaron,True
139,Sophie,Petit,20.0,F,69006,sophiep@yandex.com,33345123788,Gold,2024-01-01 09:59:03,2076-12-09 10:26:42,704.28,176.07,4,Tarte,False
140,Léa,Wilson,26.0,F,69006,lwilson@hotmail.com,0,Gold,2024-01-01 15:16:11,2050-08-07 16:55:33,703.87,24.27,29,Bread,True
141,Chloé,Durand,46.0,M,69003,CHLOÉ.DURAND@OUTLOOK.COM,+1071965596880,Silver,2021-04-11 13:45:26,2019-06-25 15:02:56,342.51,12.23,28,TBD,False
142,Harper,Baker,45.0,M,69001,HARPER.BAKER@YANDEX.COM,33991903375,Basic,2023-10-14 10:50:46,2042-07-10 09:09:33,134.98,5.4,25,Tarte,False
143,Ethan,Schulz,44.0,F,69006,ETHANSCHULZ@YANDEX.COM,33722079967,Basic,2022-03-21 14:37:20,2023-12-07 12:09:08,443.88,34.14,13,Macaron,0
144,Ava,Moore,20.0,M,69001,ava.moore@yandex.com,33148195313,BASIC,2024-01-01 11:43:25,1951-01-29 13:00:13,72.67,3.82,19,Pastries,False
